Country,iso_code,date,VaccinationRate,,,,,,,,,total_vaccinations_per_hundred,total_vaccinations_per_hundred,total_vaccinations_per_hundred
Afghanistan,AFG,2/22/2021,1368,,,,,,,,,,,
Afghanistan,AFG,2/23/2021,1367,,,,,,,,,,,
Afghanistan,AFG,2/24/2021,1367,,,,,,,,,,,
Afghanistan,AFG,2/25/2021,1367,,,,,,,,,,,
Afghanistan,AFG,2/26/2021,1367,,,,,,,,,,,
Afghanistan,AFG,2/27/2021,1367,,,,,,,,,,,
Afghanistan,AFG,2/28/2021,1367,,,,,,,,,,,
Afghanistan,AFG,3/1/2021,1580,,,,,,,,,,,
Afghanistan,AFG,3/2/2021,1794,,,,,,,,,,,
Afghanistan,AFG,3/3/2021,2008,,,,,,,,,,,
Afghanistan,AFG,3/4/2021,2221,,,,,,,,,,,
Afghanistan,AFG,3/5/2021,2435,,,,,,,,,,,
Afghanistan,AFG,3/6/2021,2649,,,,,,,,,,,
Afghanistan,AFG,3/7/2021,2862,,,,,,,,,,,
Afghanistan,AFG,3/8/2021,2862,,,,,,,,,,,
Afghanistan,AFG,3/9/2021,2862,,,,,,,,,,,
Afghanistan,AFG,3/10/2021,2862,,,,,,,,,,,
Afghanistan,AFG,3/11/2021,2862,,,,,,,,,,,
Afghanistan,AFG,3/12/2021,2862,,,,,,,,,,,
Afghanistan,AFG,3/13/2021,2862,,,,,,,,,,,
Afghanistan,AFG,3/14/2021,2862,,,,,,,,,,,
Afghanistan,AFG,3/15/2021,2862,,,,,,,,,,,
Afghanistan,AFG,3/16/2021,2862,,,,,,,,,,,
Afghanistan,AFG,3/17/2021,2882,,,,,,,,,,,
Afghanistan,AFG,3/18/2021,2902,,,,,,,,,,,
Afghanistan,AFG,3/19/2021,2921,,,,,,,,,,,
Afghanistan,AFG,3/20/2021,2941,,,,,,,,,,,
Afghanistan,AFG,3/21/2021,2961,,,,,,,,,,,
Afghanistan,AFG,3/22/2021,2980,,,,,,,,,,,
Afghanistan,AFG,3/23/2021,3000,,,,,,,,,,,
Afghanistan,AFG,3/24/2021,3000,,,,,,,,,,,
Afghanistan,AFG,3/25/2021,3000,,,,,,,,,,,
Afghanistan,AFG,3/26/2021,3000,,,,,,,,,,,
Afghanistan,AFG,3/27/2021,3000,,,,,,,,,,,
Afghanistan,AFG,3/28/2021,3000,,,,,,,,,,,
Afghanistan,AFG,3/29/2021,3000,,,,,,,,,,,
Afghanistan,AFG,3/30/2021,3000,,,,,,,,,,,
Afghanistan,AFG,3/31/2021,3000,,,,,,,,,,,
Afghanistan,AFG,4/1/2021,3000,,,,,,,,,,,
Afghanistan,AFG,4/2/2021,3000,,,,,,,,,,,
Afghanistan,AFG,4/3/2021,3000,,,,,,,,,,,
Afghanistan,AFG,4/4/2021,3000,,,,,,,,,,,
Afghanistan,AFG,4/5/2021,3000,,,,,,,,,,,
Afghanistan,AFG,4/6/2021,3000,,,,,,,,,,,
Afghanistan,AFG,4/7/2021,3000,,,,,,,,,,,
Afghanistan,AFG,4/8/2021,3714,,,,,,,,,,,
